order_no,order_date,cust_no
101,2025-04-15,1
102,2025-06-10,4
103,2024-01-20,1
104,2025-08-12,2
105,2025-05-10,5
106,2025-05-20,5
107,2024-04-05,4
108,2025-06-15,
109,2024-06-21,889
110,2023-06-06,858
111,2024-01-24,638
112,2024-06-07,961
113,2023-12-02,439
114,2024-05-09,350
115,2023-03-29,387
116,2024-03-04,824
117,2024-06-27,134
118,2024-05-20,674
119,2025-11-15,163
120,2025-05-24,415
121,2023-07-17,195
122,2025-02-24,107
123,2025-10-05,277
124,2025-12-08,98
125,2025-07-30,67
126,2023-01-14,141
127,2024-11-14,368
128,2023-11-23,219
129,2024-04-19,435
130,2024-12-14,751
131,2024-09-28,525
132,2024-02-21,632
133,2025-06-14,285
134,2023-07-09,58
135,2023-05-02,330
136,2024-11-30,742
137,2024-11-29,238
138,2025-12-27,21
139,2025-06-11,397
140,2023-11-16,7
141,2023-08-19,483
142,2023-05-23,518
143,2024-05-10,154
144,2023-01-19,65
145,2023-08-22,155
146,2023-05-14,901
147,2025-06-19,10
148,2024-08-12,377
149,2025-05-04,839
150,2025-06-23,245
151,2025-04-16,928
152,2025-08-20,505
153,2024-09-17,424
154,2025-05-24,609
155,2024-05-07,430
156,2025-02-24,12
157,2024-12-13,89
158,2025-03-13,192
159,2023-06-24,692
160,2025-04-22,923
161,2024-03-26,9
162,2024-09-16,410
163,2025-10-27,662
164,2023-05-01,789
165,2024-08-03,319
166,2024-08-16,300
167,2024-08-25,11
168,2023-11-19,674
169,2024-05-29,712
170,2024-08-27,846
171,2024-01-14,19
172,2023-01-02,109
173,2025-06-30,890
174,2025-07-22,543
175,2025-10-22,461
176,2025-06-12,321
177,2025-02-14,128
178,2023-04-22,917
179,2025-05-07,802
180,2024-04-17,231
181,2023-01-05,800
182,2023-06-07,884
183,2025-02-18,345
184,2023-07-11,114
185,2023-04-23,444
186,2024-01-09,854
187,2024-02-26,916
188,2025-11-27,292
189,2024-04-09,602
190,2024-08-26,778
191,2024-03-02,957
192,2024-06-30,968
193,2023-04-26,806
194,2025-11-18,516
195,2025-11-04,429
196,2024-08-04,316
197,2023-09-07,362
198,2025-08-22,744
199,2024-02-26,515
200,2023-03-16,958
201,2024-10-26,532
202,2024-01-02,236
203,2024-04-03,89
204,2024-12-09,263
205,2024-09-20,454
206,2023-11-26,826
207,2023-02-17,83
208,2023-08-01,256
209,2023-06-02,382
210,2023-11-19,614
211,2023-04-27,758
212,2023-03-15,229
213,2023-07-13,41
214,2023-01-16,265
215,2023-09-21,303
216,2025-10-29,237
217,2025-06-18,754
218,2024-07-29,117
219,2023-04-14,841
220,2023-03-15,45
221,2025-02-07,965
222,2024-07-20,317
223,2025-12-08,221
224,2023-06-26,250
225,2025-12-18,698
226,2023-03-12,303
227,2025-11-03,803
228,2023-05-24,178
229,2023-10-22,750
230,2025-05-23,935
231,2025-07-26,275
232,2025-08-07,216
233,2024-06-25,404
234,2023-05-03,946
235,2023-05-24,403
236,2025-09-16,468
237,2025-03-10,44
238,2025-03-11,253
239,2023-12-24,73
240,2023-01-01,256
241,2025-11-05,767
242,2025-12-17,258
243,2024-12-17,668
244,2025-12-17,524
245,2024-02-01,338
246,2024-01-11,205
247,2023-02-12,928
248,2025-05-30,231
249,2025-05-01,114
250,2025-01-23,16
251,2025-01-04,580
252,2025-12-08,500
253,2025-07-18,179
254,2025-04-01,182
255,2024-03-03,968
256,2024-12-19,792
257,2025-07-01,853
258,2024-09-13,242
259,2023-12-19,272
260,2025-01-19,322
261,2025-03-05,435
262,2025-03-13,412
263,2025-04-02,983
264,2025-12-03,690
265,2025-10-15,627
266,2024-03-13,902
267,2023-07-18,302
268,2024-05-10,437
269,2024-11-14,502
270,2024-03-22,490
271,2025-06-13,727
272,2023-01-24,218
273,2023-02-03,352
274,2023-07-11,869
275,2025-10-26,79
276,2025-01-18,39
277,2023-05-16,403
278,2024-08-10,86
279,2024-03-31,274
280,2023-01-12,105
281,2024-10-16,11
282,2023-10-19,66
283,2024-12-26,82
284,2024-05-06,703
285,2023-02-11,399
286,2024-02-26,651
287,2023-10-18,250
288,2025-11-12,189
289,2025-10-04,6
290,2024-04-03,607
291,2025-10-17,122
292,2024-11-18,68
293,2024-08-31,935
294,2025-10-31,36
295,2025-09-05,551
296,2025-10-12,380
297,2023-06-29,622
298,2025-03-24,683
299,2023-04-25,351
300,2025-08-22,380
301,2024-03-04,190
302,2023-02-22,89
303,2025-05-03,377
304,2023-09-06,548
305,2024-04-19,775
306,2024-01-24,328
307,2025-05-22,878
